iter	RMSE
0	5.639633838
1	5.541376422
2	5.443234264
3	5.350231025
4	5.25529489
5	5.173951039
6	5.085351942
7	4.994558951
8	4.908165526
9	4.831314605
10	4.763302025
11	4.685239027
12	4.610175552
13	4.538701357
14	4.473017344
15	4.407509227
16	4.344706712
17	4.275113941
18	4.216321455
19	4.160461412
20	4.091614671
21	4.030344215
22	3.970279294
23	3.921444352
24	3.860240103
25	3.813943812
26	3.759170923
27	3.705551548
28	3.654516391
29	3.60031244
30	3.549708221
31	3.499927105
32	3.455343456
33	3.405063038
34	3.361984606
35	3.317869916
36	3.276089965
37	3.236062063
38	3.192567314
39	3.153203102
40	3.11153478
41	3.071653855
42	3.024153746
43	2.980668926
44	2.94669093
45	2.909589825
46	2.873454948
47	2.841513126
48	2.810146124
49	2.768885847
50	2.738361202
51	2.709182654
52	2.686722391
53	2.660554268
54	2.626880038
55	2.597126374
56	2.562329765
57	2.533351454
58	2.513335276
59	2.488480644
60	2.458870216
61	2.429779145
62	2.40776487
63	2.381773567
64	2.348543798
65	2.322104228
66	2.299542749
67	2.273604061
68	2.250167886
69	2.226801421
70	2.209487378
71	2.187863496
72	2.16921873	1.828186552
74	1.808115024
75	75	2.109711499
76	2.089669346
77	2.072862471
78	2.046845607
79	2.026125855
80	2.007573909
81	1.992573518
82	1.975022201
83	1.957374355
84	1.940728072
85	1.926531626
86	1.910562096
87	1.898429056
88	1.879828856
89	1.860737858
90	1.84623525
91	1.8292	1.861935395
93	1.847212385
94	1.83672558
95	1.820369738
96	1.96	1.437622138
97	1.42538363
98	1.412019999
99	1.398647726
100	1.383600996
101	1.367232632
102	1.354708349
103	1.337078906
104	1.324336864
105	1.310370504
106	1.299642035
107	1.289923971
108	1.279869878
109	1.265242133
110	1.25193111	1.632732655
112	1.626232026
113	1.613336935
114	1.602130717
115	1.588801443
116	1.578442747
117	1.563940419
118	1.553430303
119	1.543603123
120	1.529142751
121	1.517378972
122	1.502526229
123	123	1.122225124	124	1.112976125	1.471154954
126126	1.4217678127127	1.4140718128128	1.407426712129	1.4022772713130	1.3952047813131	1.3832911132	1.407827118
133	1.3977367
134	1.389588724
135	1.384877943
136136	136	1.026137137	1.3351411138138	1.3223737139139	1.313798886
140	1.305072888
141	1.29678003
142	1.287470157
143	1.274835497
144	1.26866886
145	1.260576623
146	1.25244146	0147	1.245906147	148	1.239315905
149	1.231477768
150	1.226201231
151	1.218703091
152	1.216609632
153	1.207950963
153	0.9235518918
154	0.9181999097
155	0.9124003014
156	0.9096303094
157	0.9052300439
158	0.8997329792
159	0.8928822134
160	0.8867484033
161	0.8812625801
162	0.8786887069
163	0.8752466093
164	0.8711159668
165	0.8655261431
166	0.8620548253
167	0.85654722
168	0.8523031319
169	0.8465430675
170	0.8428209382
171	0.8386871157
172	0.8342316302
173	0.8315144812
174	0.8285696661
175	0.8239113749
176	0.8198557215
177	0.8167252799
178	0.8132188691
179	0.8105530062
180	0.8065547979
181	0.8012574403
182	0.7976384195
183	0.7947054025
184	0.7905595018
185	0.7880965105
186	0.7866536789
187	0.7835827192
188	0.7790103052
189	0.7755096073
190	0.7708713073
191	0.7671187213
192	0.7640307345
193	0.7606019944
194	0.7568846077
195	0.7199	0.9673196	0.7200	0.9626197	0.7201	0.9570198	0.7202	0.9533199	0.7203	0.9498200	0.7405604534
201	0.7371238952
202	0.7351675741
203	0.7314966045
204	0.7293826905
205	0.7209	0.9272206	0.7210	0.211	0.9690099028
212	0.9651142704
213	0.9614108035
214	210	0.7136894215	0.9568376943
216	0.953241386
217	0.9492346936
218	0.9461457513
219	0.9423159875
220	0216	0.698504221	0217	0.6958990904
218	0.6926507336
219	0.6900284731
220	0.6877242023
221	0.6849863619
222	0.6813793585
223	0.6785669189
224	0.6761627799
225	0.6749092414
226	0.6721599131
227	0.6690164751
228	0.6658461408
229	0.6633050575
230	0.6600492012
231	0.6570115589
232	0.6536011923
233	0.6512686346
234	0.6488891448
235	0.6471713275
236	0.644849413
237	0.6422290626
238	0.6396475581
239	0.6380131969
240	0.6351232832
241	0.6329497682
242	0.630732035
243	0.62900467
244	0.6260525269
245	0.623394549
246	0.6218206601
247	0.6194662571
248	0.61251	0.7950140443
252	0.7916207734
253	0.7890319071
254	0.7864511168
255	0.7846226701
256	0.7823530633
257	0.7795093135
258	0.7768482304
259	0.7739233678
260	0.77139915
261	0.7693536183
262	0.7663128069
263	0.7639409923
264	0.7618426548
265	0.7596289147
266	0.7574174009
267	0.7545490122
268	0.7522618619
269	0.7504612908
270	0.7486345719
271	0.7469205806
272	0.7452289688
273	0.7434576378
274	0.7419486288
275	0.740463304
276	0.7383066862
277	0.7355115495
278	0.7340307398
279	0.7304843252
280	0.7280749318
281	0.7255949886
282	0.7234313016
283	0.7209604903
284	0.7191528649
285	0.7163856353
286	0.7141520887
287	0.7129407836
288	0.710759596
289	0.7095441619
290	0.7071112381
291	0.7049875793
292	0.7033362957
293	0.7013655964
294	0.6994961506
295	0.6973482963
296	0.6954511497
297	0.6932197368
298	0.6906650365
299	0.6886875662
300	0.6872335729
301	0.6856855944
302	0.6842124437
303	0.6822732674
304	0.6807448808
305	0.6796577618
306	0.6783885508
307	0.6766119756
308	0.6751851556
309	0.6733197596
310	0.6710623453
311	0.6692762282
312	0.6680941939
313	0.6662922453
314	0.6641221131
315	0.6628146271
316	0.6609831794
317	0.6598235507
318	0.6588062388
319	0.6569966806
320	0.6555161904
321	0.6538924373
322	0.6528059981
323	0.6507494683
324	0.648992263
325	0.6471103246
326	0.6461930607
327	0.6447931787
328	0.6432911504
329	0.6422547044
330	0.6405849339
331	0.6387041822
332	0.6370655983
333	0.6357242315
334	0.6337978963
335	0.6326327971
336	0.6317060568
337	0.630580311
338	0.6292930735
339	0.6275631474
340	0.6260559896
341	0.6249411648
342	0.6230941601
343	0.6209107409
344	0.6188419318
345	0.6170344776
346	0.6155492855
347	0.6141327223
348	0.6130812943
349	0.6115229877
350	0.6108895862
351	0.6096016603
352	0.6089227542
353	0.6074968462
354	0.6059843421
355	0.6044396025
356	0.6026612209
357	0.6015740224
358	0.5999180205
359	0.5989137857
360	0.5976345624
361	0.5962954669
362	0.595016892
363	0.5937865571
364	0.5923802098
365	0.5908516364
366	0.5898578045
367	0.5892805535
368	0.587665469
369	0.58649681
370	0.5853452904
371	0.5847094301
372	0.5841255584
373	0.5829142129
374	0.58146396
375	0.5808959621
376	0.5801238468
377	0.5788628927
378	0.5779462102
379	0.5770946482
380	0.5764882034
381	0.5738279204
382	0.5725471402
383	0.5720382097
384	0.5706793459
385	0.5699140638
386	0.568533958
