iter	Passed	Remaining
0	73	70795
1	74	35895
2	75	24255
3	76	18397
4	77	14910
5	78	12583
6	79	10917
7	80	9653
8	81	8670
9	82	7898
10	83	7264
11	84	6735
12	86	6287
13	87	5902
14	88	5569
15	89	5279
16	90	5022
17	91	4793
18	92	4589
19	93	4405
20	95	4297
21	97	4179
22	100	4098
23	101	3965
24	102	3841
25	103	3728
26	104	3623
27	105	3524
28	106	3433
29	107	3348
30	108	3268
31	109	3199
32	111	3130
33	112	3063
34	113	3000
35	114	2941
36	115	2885
37	116	2832
38	117	2782
39	118	2734
40	119	2688
41	120	2645
42	121	2603
43	122	2563
44	123	2525
45	124	2488
46	125	2453
47	126	2419
48	127	2387
49	129	2356
50	130	2326
51	131	2297
52	132	2269
53	133	2242
54	134	2216
55	138	2246
56	139	2221
5759	144	21858	144	2211
59	145	2185
60	156	2320
61	159	2320
62	160	2296
63	161	2272
64	163	2264
65	164	2240
66	165	2215
67	166	2194
68	167	2174
69	168	2154
70	169	2132
71	170	2113
72	1773	178	2141
74	179	2121
75	180	75	178	2086
76	181	2092
77	182	2075
78	183	2057
79	184	2041
80	186	2025
81	187	2009
82	188	1994
83	189	1979
84	190	1964
85	191	1950
86	192	1936
87	193	1922
88	194	1908
8991	198	1882
92	202	1892
93	203	1883
94	204	1872
95	206	1863
96	207	1853
97	96	213	1909
97	219	1938
98	220	1924
99	222	1915
100	223	1905
101	224	1892
102	226	1890
103	227	1882
104	229	1875
105	230	1864
106	231	1851
107	232	18310108	233	18311109	235	182111	235	1788
112	238	1795
113	239	1785
114	240	1775
115	241	1763
116	242	1753
117	243	1744
118	244	1734
119	246	1729
120	247	1718
121	248	1710
122	249	1707
123	251	1700
124	252	1695
125	254	1690
126	255	1682
127	256	1673
128	257	1665
129	258	1655
130	259	1646
131	260	1640
132	262	1638
133	263	1629
134	264	1621
135	265	1613
136	266	1606
137	267	1599
138	268	1594
139	269	1586
140	270	1139	141	271	1140	142	273	1141	143	274	1142	144	275	1143	145	276	1144	146	277	1145	27146	287	1594
147	288	1588
148	289148	286	1567
149	288	1562
150	289	1558
151	291	1556
152	29153	307	1613
154	308	1606
155	309	1599
156	310	1592
157	311	1585
158	312	1581
159	313	1574
160	314	1567
161	316	1563
162	321	1579
163	322	1573
164	324	1568
165	325	1563
166	326	1556
167	327	1549
168	328	1543
169	329	1538
170	331	1535
171	333	1532
172	334	1529
173	335	1522
174	336	1516
175	337	1510
176	338	1504
177	339	1499
178	340	1493
179	341	1487
180	343	1482
181	344	1476
182	345	1470
183	346	1465
184	347	1459
185	348	1454
186	349	1449
187	350	1446
188	351	1441
189	353	1436
190	353	1430
191	355	1425
192	356	1423
193	358	1420
194	359	1415
195	360	1409
196	361	1404
197	362	1399
198	363	1396
199	365	1393
200	366	1389
201	367	1385
202	368	1380
203	369	1375
204	370	1370
205	371	1365
206	372	1359
207	373	1354
208	374	1349
209	375	13421210	381	1358
211	382	1354
212	383	1349
213	384	1345
214	386	1344
215	387	1340
216	388	1336
217	392	1342
218	398	1352
219	402	1360
220	404	1357
221	405	1353
222	406	1350
223	408	1347
224	410	1345
225	411	1341
226	412	1336
227	414	1334
228	415	1330
229	416	1325
230	417	1321
231	418	1317
232	419	1315
233	420	1311
234	421	1306
235	422	1301
236	423	1297
237	425	1294
238	426	1291
239	428	1289
240	429	1286
241	431	1284
242	432	1281
243	433	1278
244	436	1280
245	437	1276
246	450	1305
247	451	1301
248	452	1297
249	453	1293
250	4251	466	1315
252	467	1311
253	468	1307
254	469	1302
255	470	1298
