feature_name,feature_type,missing_pct,variance,correlation_with_target,abs_correlation
Position_raw,other,0.0,33.2927,1.0,1.0
Points,other,0.0,52.0513,-0.8536,0.8536301170350683
driver_vs_car_potential,driver,0.0,20.7289,-0.7163,0.7163147137643574
team_avg_finish,team,0.0,18.4197,0.581,0.5809744182322855
driver_points_last_5,driver,0.0,862.7717,-0.5735,0.5734775179030697
GridPosition,grid,0.0,33.5751,0.5731,0.5731478759820877
GridPosition_raw,other,0.0,33.5751,0.5731,0.5731478759820877
team_vs_average_grid,team,0.0,22.2498,0.5671,0.5671346034454916
team_points_last_5,team,0.0,861.0508,-0.5669,0.5669195873793584
team_avg_grid,team,0.0,22.294,0.5666,0.5665714309182855
grid_row,grid,0.0,8.4016,0.5659,0.5658769140105441
grid_log,grid,0.0,0.6836,0.5654,0.5654431440202836
team_last5_avg_finish,team,0.0,18.6593,0.557,0.557046045807715
driver_avg_finish_last_5,driver,0.0,17.6872,0.5564,0.5563909586266246
grid_sqrt,grid,0.0,1.1077,0.5553,0.5552602395426524
team_dnf_rate_last_10,team,0.0,971.7405,0.5443,0.544291132619746
team_avg_grid_last_5,team,0.0,20.5438,0.544,0.5439533606617546
team_avg_finish_last_5,team,0.0,17.3601,0.5421,0.5420588568946841
top_five,grid,0.0,0.1952,-0.5375,0.5375385001076648
grid_squared,grid,0.0,14894.964,0.5255,0.5255296707131294
team_best_finish_last_5,team,0.0,15.4929,0.5254,0.5254340045716133
driver_vs_teammate,driver,0.0,36.3492,-0.5224,0.5224477101047673
team_last3_avg_finish,team,0.0,21.2071,0.5181,0.5181046102936683
driver_best_finish_last_5,driver,0.0,15.916,0.5181,0.5180675054688054
grid_x_overtaking,interaction,0.0,179671.1148,0.5091,0.5090583461770252
team_avg_finish_last_3,team,0.0,20.7614,0.507,0.5070109919226352
driver_avg_grid_season,driver,0.0,25.4851,0.5031,0.5030614835310414
team_podiums_season,team,0.0,34.4478,-0.4962,0.4962456803257913
top_ten,grid,0.0,0.2501,-0.4952,0.4951541382929026
back_half,grid,0.0,0.2501,0.4952,0.49515413829290245
reliability_x_circuit_dnf,interaction,0.0,355.6258,0.4948,0.49483834564346624
driver_avg_finish_season,driver,0.0,22.2605,0.494,0.49401852276657454
team_points_total,team,0.0,19073.0471,-0.4911,0.4910694694751297
driver_points_season,driver,0.0,4804.6945,-0.4804,0.48039045343828485
grid_cubed,grid,0.0,5553390.7518,0.4721,0.47207740096347783
driver_career_podiums,driver,0.0,32.3947,-0.4606,0.46064091247643585
top_three,grid,0.0,0.1382,-0.4593,0.4593008084953358
position_change,other,0.0,28.543,-0.4584,0.45838153410045235
team_wins_season,team,0.0,5.1948,-0.4534,0.4533615841888995
team_races_since_podium,team,0.0,509.5429,0.4223,0.42231196825344947
driver_career_wins,driver,0.0,7.6573,-0.366,0.3660157586253452
team_worst_finish_last_5,team,0.0,25.3766,0.3577,0.35766435313580425
front_row,grid,0.0,0.1022,-0.3528,0.3528306740931375
frontrow_x_correlation,interaction,0.0,0.0563,-0.3479,0.34791481498819077
top3_x_high_df,interaction,0.0,0.0656,-0.3322,0.3321890148176374
championship_gap_leader,temporal,0.0,10497.9858,0.325,0.3249931937008505
grid_x_pole_win_rate,interaction,0.0,22.1678,0.3004,0.3003972210064962
late_contention_pressure,interaction,0.0,0.051,-0.266,0.2659592583591818
top3_x_street,interaction,0.0,0.0499,-0.2595,0.2595360886291231
driver_best_finish_at_circuit,driver,0.0,36.5287,0.2187,0.21869088098717784
pole_at_processional,interaction,0.0,0.0213,-0.217,0.21698629773524455
back_x_variance,interaction,0.0,47.3601,0.1916,0.19159132734247522
driver_avg_finish_at_circuit,driver,0.0,11.5025,0.1831,0.18308447554134644
driver_races_at_circuit,driver,0.0,0.219,-0.1498,0.14976057446828844
is_rookie,driver,0.0,0.2274,0.147,0.146959755519418
grid_x_low_df,interaction,0.0,27.4372,0.1386,0.1385697764650648
midfield_x_variance,interaction,0.0,80.1764,0.1361,0.13607031256324548
driver_career_races,driver,0.0,118.3637,-0.1353,0.1352722310583078
driver_in_contention,driver,0.0,0.2416,-0.1297,0.12969065237561828
team_form_trend,team,0.0,1.1913,0.1041,0.1040859693321043
team_performance_delta,team,0.0,4.0972,0.0898,0.08977587909524978
driver_momentum,driver,0.0,5.3325,-0.0831,0.0830533242070616
form_x_contention,interaction,0.0,2.7253,-0.0826,0.0826271299199972
grid_side_clean,grid,0.0,0.2503,-0.0812,0.08115286648702029
team_position_change_avg_5,team,0.0,6.7152,0.0799,0.07987015507722754
team_consistency,team,0.0,3.3235,-0.0775,0.07748569122009964
team_last5_avg_change,team,0.0,7.1435,0.0749,0.07489995742630132
team_completion_rate_season,team,0.0,262.3186,0.0707,0.07074257581508255
team_last3_avg_change,team,0.0,10.596,0.069,0.0689504329060069
