circuit,cluster,total_races,first_year,last_year,pole_win_rate,overtaking_score,position_std,dnf_rate
Austin,High Overtaking Chaotic,1,2018,2018,0.0000,0.4821,2.1381,0.5882
Baku,High Overtaking Chaotic,1,2018,2018,0.0000,0.7789,3.1663,0.3500
Barcelona,High Overtaking,1,2018,2018,1.0000,0.3162,1.1402,0.7500
Budapest,High Overtaking,1,2018,2018,1.0000,0.3742,3.7103,0.7000
Hockenheim,High Overtaking Chaotic,1,2018,2018,0.0000,0.7789,5.0434,0.3500
Le Castellet,High Overtaking,1,2018,2018,1.0000,0.6055,2.6998,0.5000
Marina Bay,High Overtaking,1,2018,2018,1.0000,0.4320,1.5119,0.6500
Melbourne,High Overtaking,1,2018,2018,0.0000,0.8367,2.7932,0.3000
Monte Carlo,High Overtaking,1,2018,2018,1.0000,0.7789,3.7893,0.3500
Montréal,High Overtaking,1,2018,2018,1.0000,0.3742,1.0954,0.7000
Monza,High Overtaking,1,2018,2018,0.0000,0.4899,2.8284,0.6000
Sakhir,High Overtaking Chaotic,1,2018,2018,1.0000,0.3742,2.1602,0.7000
Shanghai,High Overtaking,1,2018,2018,0.0000,1.1255,3.4455,0.0500
Silverstone,High Overtaking Chaotic,1,2018,2018,0.0000,0.8367,2.7576,0.3000
Sochi,High Overtaking,1,2018,2018,0.0000,0.4320,6.3957,0.6500
Spa-Francorchamps,High Overtaking,1,2018,2018,0.0000,0.5477,5.4083,0.5500
Spielberg,High Overtaking Chaotic,1,2018,2018,0.0000,0.2000,1.1547,0.8500
Suzuka,High Overtaking,1,2018,2018,1.0000,0.5477,3.9405,0.5500
