circuit,archetype
Sakhir,Processional (High Grid Advantage)
Barcelona,Processional (High Grid Advantage)
Monte Carlo,Processional (High Grid Advantage)
Montréal,Processional (High Grid Advantage)
Le Castellet,Processional (High Grid Advantage)
Budapest,Processional (High Grid Advantage)
Marina Bay,Processional (High Grid Advantage)
Suzuka,Processional (High Grid Advantage)
Melbourne,Overtaking-Friendly (Low Grid Advantage)
Shanghai,Overtaking-Friendly (Low Grid Advantage)
Baku,Overtaking-Friendly (Low Grid Advantage)
Spielberg,Overtaking-Friendly (Low Grid Advantage)
Silverstone,Overtaking-Friendly (Low Grid Advantage)
Hockenheim,Overtaking-Friendly (Low Grid Advantage)
Spa-Francorchamps,Overtaking-Friendly (Low Grid Advantage)
Monza,Overtaking-Friendly (Low Grid Advantage)
Sochi,Overtaking-Friendly (Low Grid Advantage)
Austin,Overtaking-Friendly (Low Grid Advantage)
Hockenheim,Chaotic (High Variance)
Spa-Francorchamps,Chaotic (High Variance)
Sochi,Chaotic (High Variance)
Sakhir,Predictable (Low Variance)
Barcelona,Predictable (Low Variance)
Montréal,Predictable (Low Variance)
Spielberg,Predictable (Low Variance)
Marina Bay,Predictable (Low Variance)
Austin,Predictable (Low Variance)
Sakhir,Dangerous (High DNF)
Barcelona,Dangerous (High DNF)
Montréal,Dangerous (High DNF)
Spielberg,Dangerous (High DNF)
Budapest,Dangerous (High DNF)
Marina Bay,Dangerous (High DNF)
Sochi,Dangerous (High DNF)
Melbourne,Safe (Low DNF)
Shanghai,Safe (Low DNF)
Baku,Safe (Low DNF)
Monte Carlo,Safe (Low DNF)
Silverstone,Safe (Low DNF)
Hockenheim,Safe (Low DNF)
