Circuit,Cluster,Total_Races,Pole_Win_Rate,Front_Row_Win_Rate,Overtaking_Score,Avg_Pos_Change,Pos_Change_StdDev,DNF_Rate,Lowest_Winner_Grid,Highest_Podium_Grid,Max_Positions_Gained
Suzuka,High Overtaking,1,1.000,0.500,0.548,1.444,3.941,0.550,1,3,11
Barcelona,High Overtaking,1,1.000,0.500,0.316,0.400,1.140,0.750,1,5,2
Monte Carlo,High Overtaking,1,1.000,0.500,0.779,1.769,3.789,0.350,1,3,11
Montréal,High Overtaking,1,1.000,0.500,0.374,0.000,1.095,0.700,1,3,2
Le Castellet,High Overtaking,1,1.000,0.500,0.606,0.200,2.700,0.500,1,6,3
Marina Bay,High Overtaking,1,1.000,0.500,0.432,0.571,1.512,0.650,1,3,4
Sakhir,High Overtaking Chaotic,1,1.000,0.500,0.374,1.667,2.160,0.700,1,9,6
Budapest,High Overtaking,1,1.000,0.500,0.374,1.167,3.710,0.700,1,4,8
Melbourne,High Overtaking,1,0.000,0.000,0.837,1.571,2.793,0.300,3,3,7
Spa-Francorchamps,High Overtaking,1,0.000,0.500,0.548,1.667,5.408,0.550,2,7,15
Sochi,High Overtaking,1,0.000,0.500,0.432,3.714,6.396,0.650,2,3,14
Monza,High Overtaking,1,0.000,0.000,0.490,1.000,2.828,0.600,3,4,7
Silverstone,High Overtaking Chaotic,1,0.000,0.333,0.837,2.286,2.758,0.300,2,3,7
Hockenheim,High Overtaking Chaotic,1,0.000,0.000,0.779,2.462,5.043,0.350,14,14,13
Spielberg,High Overtaking Chaotic,1,0.000,0.000,0.200,2.333,1.155,0.850,4,6,3
Baku,High Overtaking Chaotic,1,0.000,0.500,0.779,4.231,3.166,0.350,2,8,9
Shanghai,High Overtaking,1,0.000,0.000,1.125,0.263,3.445,0.050,6,6,6
Austin,High Overtaking Chaotic,1,0.000,0.500,0.482,0.714,2.138,0.588,2,2,4
