TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,2.5,0.707,2.0,3.5,1.0,0.0,33.0
Mercedes,3.0,2.828,1.0,1.5,-1.5,0.0,35.0
Haas,8.5,2.121,7.0,9.5,1.0,1.0,7.0
Toro Rosso,8.5,3.536,6.0,7.0,-1.5,0.5,8.0
Renault,10.5,2.121,9.0,9.0,-1.5,1.0,2.0
Red Bull,11.5,10.607,4.0,9.5,-2.0,0.5,12.0
McLaren,13.0,7.071,8.0,13.5,0.5,1.0,4.0
Force India,13.5,0.707,13.0,18.5,5.0,1.0,0.0
Williams,16.5,0.707,16.0,17.5,1.0,1.0,0.0
Sauber,17.5,3.536,15.0,15.5,-2.0,1.0,0.0
