TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,1.5,0.707,1.0,8.0,6.5,0.0,43.0
Force India,7.5,0.707,7.0,12.5,5.0,0.0,10.0
Haas,8.5,3.536,6.0,5.5,-3.0,0.0,8.0
Renault,8.5,4.95,5.0,7.5,-1.0,0.0,10.0
Ferrari,10.5,10.607,3.0,2.0,-8.5,0.5,15.0
Red Bull,12.0,11.314,4.0,12.0,0.0,0.5,12.0
Sauber,12.0,4.243,9.0,11.0,-1.0,0.5,2.0
Toro Rosso,12.0,2.828,10.0,16.5,4.5,0.5,1.0
McLaren,14.5,2.121,13.0,15.0,0.5,0.5,0.0
Williams,18.0,1.414,17.0,15.0,-3.0,1.0,0.0
