TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Red Bull,3.0,1.414,2.0,4.5,1.5,0.0,30.0
Ferrari,4.0,1.414,3.0,4.5,0.5,0.0,25.0
Mercedes,4.0,4.243,1.0,1.5,-2.5,0.0,31.0
Haas,8.5,3.536,6.0,9.5,1.0,0.5,8.0
Renault,8.5,0.707,8.0,9.5,1.0,0.0,6.0
Sauber,11.5,2.121,10.0,11.5,0.0,0.5,1.0
McLaren,14.0,2.828,12.0,16.5,2.5,1.0,0.0
Williams,16.0,1.414,15.0,18.5,2.5,1.0,0.0
Toro Rosso,17.0,4.243,14.0,17.0,0.0,1.0,0.0
Force India,18.5,0.707,18.0,12.0,-6.5,1.0,0.0
