TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,2.5,2.121,1.0,2.5,0.0,0.0,37.0
Ferrari,4.0,1.414,3.0,4.0,0.0,0.0,25.0
Red Bull,4.0,2.828,2.0,4.0,0.0,0.0,26.0
Renault,9.0,1.414,8.0,11.0,2.0,1.0,5.0
McLaren,9.5,3.536,7.0,14.5,5.0,0.5,6.0
Sauber,10.0,1.414,9.0,13.5,3.5,1.0,2.0
Toro Rosso,15.0,2.828,13.0,16.0,1.0,1.0,0.0
Haas,16.5,2.121,15.0,12.0,-4.5,1.0,0.0
Williams,16.5,3.536,14.0,19.5,3.0,1.0,0.0
Racing Point,18.0,2.828,16.0,8.0,-10.0,1.0,0.0
