grid_position,sample_size,avg_finish,median_finish,std_finish,best_finish,worst_finish,dnf_rate,win_rate,podium_rate,points_rate,avg_position_change,improvement_rate
1,1,2.0,2.0,,2.0,2.0,0.0,0.0,1.0,1.0,-1.0,0.0
2,1,3.0,3.0,,3.0,3.0,0.0,0.0,1.0,1.0,-1.0,0.0
3,1,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
4,1,6.0,6.0,,6.0,6.0,0.0,0.0,0.0,1.0,-2.0,0.0
7,1,7.0,7.0,,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
8,1,4.0,4.0,,4.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0
9,1,10.0,10.0,,10.0,10.0,0.0,0.0,0.0,1.0,-1.0,0.0
10,1,5.0,5.0,,5.0,5.0,0.0,0.0,0.0,1.0,5.0,1.0
11,1,9.0,9.0,,9.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0
12,1,11.0,11.0,,11.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0
13,1,14.0,14.0,,14.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
14,1,12.0,12.0,,12.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0
15,1,8.0,8.0,,8.0,8.0,0.0,0.0,0.0,1.0,7.0,1.0
18,1,13.0,13.0,,13.0,13.0,0.0,0.0,0.0,0.0,5.0,1.0
