TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,2.0,1.414,1.0,2.5,0.5,0.0,40.0
Mercedes,5.0,4.243,2.0,8.0,3.0,0.0,22.0
Red Bull,5.0,1.414,4.0,6.0,1.0,0.0,20.0
McLaren,7.0,2.828,5.0,10.5,3.5,0.0,12.0
Renault,8.5,2.121,7.0,8.0,-0.5,0.0,7.0
Force India,11.5,0.707,11.0,13.0,1.5,0.0,0.0
Sauber,16.0,4.243,13.0,17.5,1.5,0.5,0.0
Haas,16.5,0.707,16.0,5.5,-11.0,1.0,0.0
Toro Rosso,16.5,2.121,15.0,18.0,1.5,1.0,0.0
Williams,17.0,4.243,14.0,16.0,-1.0,0.5,0.0
