TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,3.0,1.414,2.0,3.0,0.0,0.0,30.0
Mercedes,4.0,1.414,3.0,4.0,0.0,0.0,25.0
Red Bull,5.0,5.657,1.0,10.5,5.5,0.0,27.0
Force India,9.0,4.243,6.0,7.5,-1.5,0.0,8.0
Renault,9.0,1.414,8.0,9.5,0.5,0.0,5.0
Toro Rosso,13.0,8.485,7.0,12.5,-0.5,0.5,6.0
Haas,14.0,1.414,13.0,18.5,4.5,0.5,0.0
Sauber,14.5,4.95,11.0,15.0,0.5,0.5,0.0
Williams,16.5,0.707,16.0,15.0,-1.5,1.0,0.0
McLaren,17.0,4.243,14.0,9.5,-7.5,1.0,0.0
