TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,2.0,1.414,1.0,3.5,1.5,0.0,40.0
Ferrari,3.0,1.414,2.0,1.5,-1.5,0.0,30.0
Racing Point,6.5,0.707,6.0,11.0,4.5,0.0,14.0
Williams,9.5,0.707,9.0,11.0,1.5,1.0,3.0
Renault,10.5,3.536,8.0,13.5,3.0,0.5,4.0
Red Bull,11.0,8.485,5.0,12.0,1.0,0.5,10.0
Sauber,13.0,2.828,11.0,16.5,3.5,1.0,0.0
McLaren,15.0,4.243,12.0,15.0,0.0,1.0,0.0
Toro Rosso,16.5,3.536,14.0,12.5,-4.0,1.0,0.0
Haas,18.0,2.828,16.0,8.5,-9.5,1.0,0.0
