TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,2.5,0.707,2.0,6.0,3.5,0.0,33.0
McLaren,7.5,0.707,7.0,13.5,6.0,1.0,10.0
Renault,8.5,3.536,6.0,8.5,0.0,0.5,8.0
Haas,9.0,5.657,5.0,11.0,2.0,0.5,10.0
Ferrari,9.5,12.021,1.0,1.5,-8.0,0.5,25.0
Sauber,10.5,2.121,9.0,18.0,7.5,1.0,2.0
Toro Rosso,10.5,9.192,4.0,8.0,-2.5,0.5,12.0
Force India,13.0,4.243,10.0,10.0,-3.0,1.0,1.0
Williams,14.5,0.707,14.0,19.0,4.5,1.0,0.0
Red Bull,19.5,0.707,19.0,9.5,-10.0,1.0,0.0
