grid_position,sample_size,avg_finish,median_finish,std_finish,best_finish,worst_finish,dnf_rate,win_rate,podium_rate,points_rate,avg_position_change,improvement_rate
1,1,8.0,8.0,,8.0,8.0,0.0,0.0,0.0,1.0,-7.0,0.0
2,1,3.0,3.0,,3.0,3.0,0.0,0.0,1.0,1.0,-1.0,0.0
3,1,2.0,2.0,,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
4,1,4.0,4.0,,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
5,1,5.0,5.0,,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0
7,1,6.0,6.0,,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0
8,1,12.0,12.0,,12.0,12.0,0.0,0.0,0.0,0.0,-4.0,0.0
9,1,9.0,9.0,,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,17.0,17.0,,17.0,17.0,0.0,0.0,0.0,0.0,-7.0,0.0
11,1,10.0,10.0,,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0
12,1,11.0,11.0,,11.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0
13,1,7.0,7.0,,7.0,7.0,0.0,0.0,0.0,1.0,6.0,1.0
14,1,13.0,13.0,,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0
16,1,15.0,15.0,,15.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0
17,1,18.0,18.0,,18.0,18.0,0.0,0.0,0.0,0.0,-1.0,0.0
18,1,14.0,14.0,,14.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0
19,1,19.0,19.0,,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,16.0,16.0,,16.0,16.0,0.0,0.0,0.0,0.0,4.0,1.0
