TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,2.0,1.414,1.0,2.5,0.5,0.0,40.0
Mercedes,3.0,1.414,2.0,2.5,-0.5,0.0,30.0
Force India,8.5,2.121,7.0,11.0,2.5,0.0,7.0
McLaren,9.5,2.121,8.0,15.0,5.5,0.0,4.0
Red Bull,10.0,7.071,5.0,5.5,-4.5,0.5,10.0
Renault,11.5,7.778,6.0,13.5,2.0,0.5,8.0
Haas,12.5,4.95,9.0,7.5,-5.0,0.5,2.0
Williams,13.0,1.414,12.0,18.5,5.5,0.0,0.0
Toro Rosso,16.5,4.95,13.0,7.0,-9.5,0.5,0.0
Sauber,18.5,0.707,18.0,12.0,-6.5,1.0,0.0
