TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,1.5,0.707,1.0,1.5,0.0,0.0,43.0
Ferrari,3.5,0.707,3.0,3.5,0.0,0.0,27.0
Red Bull,5.5,0.707,5.0,18.5,13.0,0.0,18.0
Haas,9.5,2.121,8.0,7.0,-2.5,1.0,4.0
Racing Point,9.5,0.707,9.0,7.0,-2.5,1.0,3.0
Sauber,10.0,4.243,7.0,8.5,-1.5,0.5,6.0
Renault,14.5,3.536,12.0,11.5,-3.0,1.0,0.0
McLaren,15.0,1.414,14.0,15.5,0.5,1.0,0.0
Williams,16.5,2.121,15.0,13.5,-3.0,1.0,0.0
Toro Rosso,19.5,0.707,19.0,18.5,-1.0,1.0,0.0
