TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Mercedes,3.0,1.414,2.0,10.0,7.0,0.0,30.0
Racing Point,5.5,0.707,5.0,3.5,-2.0,0.0,18.0
Haas,7.5,0.707,7.0,7.0,-0.5,0.0,10.0
Ferrari,9.0,11.314,1.0,4.0,-5.0,0.5,25.0
Red Bull,9.5,9.192,3.0,7.5,-2.0,0.5,15.0
Toro Rosso,11.5,3.536,9.0,10.5,-1.0,0.5,2.0
Williams,12.5,0.707,12.0,16.5,4.0,1.0,0.0
Sauber,14.0,5.657,10.0,12.5,-1.5,1.0,1.0
Renault,15.5,6.364,11.0,17.0,1.5,1.0,0.0
McLaren,17.0,2.828,15.0,16.5,-0.5,1.0,0.0
