TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,2.5,0.707,2.0,4.5,2.0,0.0,33.0
Haas,4.5,0.707,4.0,6.5,2.0,1.0,22.0
Force India,6.5,0.707,6.0,13.5,7.0,1.0,14.0
Red Bull,9.5,12.021,1.0,5.5,-4.0,0.5,25.0
Sauber,9.5,0.707,9.0,19.0,9.5,1.0,3.0
McLaren,11.5,4.95,8.0,14.0,2.5,1.0,4.0
Williams,13.5,0.707,13.0,15.5,2.0,1.0,0.0
Toro Rosso,14.0,4.243,11.0,15.5,1.5,1.0,0.0
Renault,16.0,5.657,12.0,9.5,-6.5,1.0,0.0
Mercedes,17.5,2.121,16.0,1.5,-16.0,1.0,0.0
